lift 提升
enlist 招募
sophisticated 精密的
algorithm 演算
replicate 複製
purchase 購買
empathy 同理心
lack 缺乏
virtual_reality 虛擬實境
autonomous 自動的
surgical 外科
procedure 手術
mileage 好處
benefit 受惠
accessible 可取得的
voyage 航行
shield 保護
radiation 輻射
counter 對抗
microgravity 微重力
flexible 有彈性的
stability 穩定性
colonize 開拓殖民地
dose 劑量
complex 複雜的
failure 故障
variety 多種
nutrient 養分
sustenance 食物
cohesion 結合
exploration 探索
impeachment 彈劾
obstruct 妨礙
convict 定罪
rival 競爭對手
whistleblower 告密者
allege 指稱
interfere 介入
subject 易受的
executive 行政的
withhold 保留
deliberation 審議
waive 放棄
unprecedented 空前的
stall 拖延
leak 外洩
accusation 指控
inquiry 詢問
declassify 使解密
transcript 逐字稿
subpoena 傳喚
contempt 輕視
citation 傳票
unconstitutional 違憲的
due_process 合法訴訟程序
resolution 正式決議
adopt 正式通過
objection 反對
motion 提議
formalize 使正式
testify 作證
high_crime 嚴重罪刑
misdemeanor 品行不端
judiciary 法官
article 條款
commit 犯(罪)
reelection 連任
legacy 精神遺產
spectacular 令人驚嘆得
draft 經選秀入隊
crush 摧毀
fierce 激烈的
decorated 授勳的
status 身分
thrill 興奮
memorable 值得懷念的
controversy 爭議
sexual_assault 性侵
settle 和解
civil_court 民事法庭
adversity 災禍 
trademark 商標
rupture 破裂
achilles_tendon 阿基里斯腱
opponent 對手
jaw-dropping 令人瞠目結舌的
spark 引發
hoop 投籃
tragedy 不幸
